-0.000269,
-0.000234,
-0.000791,
-0.001277,
-0.000921,
-0.000536,
0.001002,
0.002652,
0.005013,
0.007536,
0.011049,
0.014043,
0.015662,
0.015380,
0.012564,
0.006400,
-0.004641,
-0.019494,
-0.037649,
-0.057322,
-0.076704,
-0.093047,
-0.102152,
-0.100234,
-0.085408,
-0.054593,
-0.006301,
0.058552,
0.138335,
0.231300,
0.331924,
0.436066,
0.536695,
0.629312,
0.708556,
0.771387,
0.815614,
0.840154,
0.846411,
0.835596,
0.810537,
0.775082,
0.730942,
0.681934,
0.629421,
0.573944,
0.515147,
0.451582,
0.382099,
0.304341,
0.216330,
0.118160,
0.009201,
-0.109371,
-0.235124,
-0.365076,
-0.494757,
-0.619853,
-0.735392,
-0.837831,
-0.924832,
-0.992010,
-1.038430,
-1.063398,
-1.068617,
-1.054484,
-1.024646,
-0.981195,
-0.926918,
-0.864407,
-0.795963,
-0.722868,
-0.645391,
-0.563567,
-0.476771,
-0.383597,
-0.281539,
-0.170194,
-0.049415,
0.080443,
0.220167,
0.365664,
0.513709,
0.661671,
0.803730,
0.933157,
1.046811,
1.137629,
1.203341,
1.240235,
1.247047,
1.223629,
1.170122,
1.090036,
0.986545,
0.864290,
0.727991,
0.581937,
0.432466,
0.282041,
0.134536,
-0.006304,
-0.137978,
-0.258113,
-0.367845,
-0.465765,
-0.552191,
-0.628854,
-0.696808,
-0.755824,
-0.808309,
-0.853525,
-0.892313,
-0.925451,
-0.949845,
-0.965716,
-0.970400,
-0.962804,
-0.941908,
-0.905910,
-0.853417,
-0.785883,
-0.703690,
-0.608111,
-0.500879,
-0.385221,
-0.263891,
-0.138942,
-0.013736,
0.108169,
0.225382,
0.335000,
0.434164,
0.523568,
0.600552,
0.665621,
0.717415,
0.756513,
0.783195,
0.797793,
0.799966,
0.791671,
0.771055,
0.740474,
0.698975,
0.646728,
0.584951,
0.512259,
0.430034,
0.337939,
0.237088,
0.127728,
0.011359,
-0.110403,
-0.235956,
-0.361336,
-0.483207,
-0.599406,
-0.706512,
-0.802134,
-0.882113,
-0.946597,
-0.993520,
-1.023904,
-1.037271,
-1.035970,
-1.020472,
-0.992745,
-0.953559,
-0.902970,
-0.843415,
-0.773408,
-0.693491,
-0.603746,
-0.503785,
-0.393818,
-0.276249,
-0.151522,
-0.021329,
0.110808,
0.241499,
0.368225,
0.488758,
0.598249,
0.697233,
0.783212,
0.855032,
0.912949,
0.958284,
0.990382,
1.011517,
1.022022,
1.022749,
1.014508,
0.996702,
0.967250,
0.927432,
0.873899,
0.807163,
0.725297,
0.628023,
0.514992,
0.386490,
0.245085,
0.092932,
-0.067673,
-0.232815,
-0.397003,
-0.557343,
-0.708174,
-0.844930,
-0.963890,
-1.062796,
-1.137031,
-1.186013,
-1.208571,
-1.204708,
-1.174242,
-1.119841,
